Track Name,Artist Name,Album Name,Track Duration (ms),Added At,Genre
Kill Our Way to Heaven,Michl,Michl,234929,2016-12-28T03:38:05Z,"""indie poptimism"", ""vapor soul"""
Sure Thing,Miguel,All I Want Is You,195373,2016-12-11T09:31:20Z,"""dance pop"", ""hip hop"", ""hip pop"", ""indie r&b"", ""pop"", ""pop rap"", ""r&b"", ""rap"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
I Took A Pill In Ibiza,Mike Posner,"At Night, Alone.",280800,2016-12-14T07:47:56Z,"""dance pop"", ""edm"", ""pop"", ""pop rap"", ""post-teen pop"", ""tropical house"""
Not That Simple,Mike Posner,"At Night, Alone.",234106,2016-12-14T07:47:59Z,"""dance pop"", ""edm"", ""pop"", ""pop rap"", ""post-teen pop"", ""tropical house"""
Buried In Detroit,Mike Posner,"At Night, Alone.",246413,2016-12-14T08:58:25Z,"""dance pop"", ""edm"", ""pop"", ""pop rap"", ""post-teen pop"", ""tropical house"""
Silence,"Mike Posner, Labrinth","At Night, Alone.",255933,2016-12-14T07:54:05Z,"""dance pop"", ""edm"", ""pop"", ""pop rap"", ""post-teen pop"", ""tropical house"""
Salvage,MTNS,Salvage,193984,2016-11-28T18:59:05Z,"""aussietronica"""
Sexual,"NEIKED, Dyo",Sexual,188888,2017-02-23T10:41:37Z,"""house"", ""pop"", ""tropical house"""
Peaches,New Heights,New Heights EP,241573,2016-11-28T04:54:51Z,"""alternative pop rock"""
Jealous - Remix,"Nick Jonas, Tinashe",Nick Jonas X2,222186,2016-12-21T08:43:20Z,"""dance pop"", ""pop"", ""pop christmas"", ""post-teen pop"", ""tropical house"", ""viral pop"""
Close,"Nick Jonas, Tove Lo",Last Year Was Complicated,234213,2016-12-21T08:38:36Z,"""dance pop"", ""pop"", ""pop christmas"", ""post-teen pop"", ""tropical house"", ""viral pop"""
Heartache,ONE OK ROCK,35xxxv (Deluxe Edition),265213,2016-11-26T22:47:23Z,"""anime"", ""j-metal"", ""j-pop"", ""j-rock"", ""otacore"""
All Mine,ONE OK ROCK,JINSEI KAKETE BOKU WA,276480,2016-11-26T22:47:36Z,"""anime"", ""j-metal"", ""j-pop"", ""j-rock"", ""otacore"""
Wherever you are,ONE OK ROCK,Niche Syndrome,295600,2016-11-28T23:45:12Z,"""anime"", ""j-metal"", ""j-pop"", ""j-rock"", ""otacore"""
Last Dance,ONE OK ROCK,35xxxv (Deluxe Edition),229586,2016-11-29T07:56:08Z,"""anime"", ""j-metal"", ""j-pop"", ""j-rock"", ""otacore"""
the same as...,ONE OK ROCK,JINSEI KAKETE BOKU WA,276640,2016-11-29T07:56:26Z,"""anime"", ""j-metal"", ""j-pop"", ""j-rock"", ""otacore"""
C.h.a.o.s.m.y.t.h.,ONE OK ROCK,Zanky? Reference,318426,2017-02-15T16:25:10Z,"""anime"", ""j-metal"", ""j-pop"", ""j-rock"", ""otacore"""
Take What You Want (feat. 5 Seconds of Summer),"ONE OK ROCK, 5 Seconds of Summer",Ambitions,243333,2017-02-12T03:33:09Z,"""anime"", ""j-metal"", ""j-pop"", ""j-rock"", ""otacore"""
Kids,OneRepublic,Oh My My,238386,2016-12-14T06:04:40Z,"""dance pop"", ""piano rock"", ""pop"", ""pop christmas"", ""pop rock"""
Let Her Go,Passenger,All The Little Lights,252866,2016-12-25T23:17:27Z,"""indie folk"", ""neo mellow"", ""pop"""
Lifted Up (1985),Passion Pit,Kindred,263293,2016-12-04T07:45:59Z,"""alternative dance"", ""folk-pop"", ""indie pop"", ""indie rock"", ""indietronica"", ""modern rock"", ""new rave"", ""shimmer pop"", ""synthpop"""
We Should Be Together,Pia Mia,We Should Be Together,224440,2016-12-20T00:59:45Z,"""dance pop"", ""deep pop r&b"", ""pop"", ""post-teen pop"", ""r&b"", ""teen pop"", ""tropical house"", ""viral pop"""
Shelter,"Porter Robinson, Madeon",Shelter,218964,2016-11-27T19:13:28Z,"""big room"", ""brostep"", ""catstep"", ""complextro"", ""edm"", ""electro house"", ""electronic trap"", ""progressive electro house"", ""tropical house"""
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",Shed A Light,191379,2017-01-10T20:29:37Z,"""deep euro house"", ""deep house"", ""edm"", ""pop"", ""tropical house"""
Latch - Acoustic,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),223429,2016-11-28T00:39:21Z,"""dance pop"", ""pop"""
Restart,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),232779,2016-11-28T00:39:49Z,"""dance pop"", ""pop"""
Lay Me Down,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),253208,2016-11-28T00:39:52Z,"""dance pop"", ""pop"""
I'm Not The Only One,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),239316,2016-11-28T00:39:56Z,"""dance pop"", ""pop"""
Nirvana,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),202268,2016-11-28T00:40:10Z,"""dance pop"", ""pop"""
Lay Me Down,"Sam Smith, John Legend",In The Lonely Hour (Drowning Shadows Edition),219535,2016-11-28T00:39:18Z,"""dance pop"", ""pop"""
