?Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,Genre
spotify:track:2gmV7K1xaMwmCQLeGFyCMJ,JULY,Kris Wu,JULY,1,1,186980,spotify:user:jennunyan,2017-10-22T01:24:06Z,"""c-pop"", ""hip hop"", ""r&b"""
spotify:track:3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),1,1,220780,spotify:user:jennunyan,2017-02-16T06:15:10Z,"""edm"", ""minimal dub"", ""pop"", ""tropical house"""
spotify:track:34RyM99miX6VVrbVcI9n1i,Summer of Love (Radio Edit),"Kyler England, Myon & Shane 54",Summer of Love,1,2,258750,spotify:user:jennunyan,2016-12-04T07:46:13Z,"""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
spotify:track:7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,Leona Lewis,Spirit,1,1,262466,spotify:user:jennunyan,2016-11-26T22:29:48Z,"""dance pop"", ""europop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""r&b"", ""talent show"", ""urban contemporary"", ""viral pop"""
spotify:track:2iXBZ32Fz5VDCLeE0JIdX5,Better in Time,Leona Lewis,Spirit,1,2,234173,spotify:user:jennunyan,2016-11-26T22:29:51Z,"""dance pop"", ""europop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""r&b"", ""talent show"", ""urban contemporary"", ""viral pop"""
spotify:track:1cXh5RlWvZCyhGPDi8pk0y,My Hands,Leona Lewis,Echo,1,8,252600,spotify:user:jennunyan,2017-01-24T13:59:56Z,"""dance pop"", ""europop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""r&b"", ""talent show"", ""urban contemporary"", ""viral pop"""
spotify:track:5DHiJG7S1WC9QMAYuSAmKc,Cactus In the Valley (feat Owl City) [Acoustic] - JOHNNYSWIM,Lights,Siberia (Acoustic),1,2,202906,spotify:user:jennunyan,2016-11-28T04:56:20Z,"""canadian pop"", ""indie poptimism"", ""indietronica"", ""pop"""
spotify:track:3DDGhkxq3FeUorZppSgeLE,Somewhere Only We Know,Lily Allen,Somewhere Only We Know,1,1,208154,spotify:user:jennunyan,2016-12-25T23:17:16Z,"""dance pop"", ""europop"", ""folk-pop"", ""pop"", ""pop rock"", ""post-teen pop"""
spotify:track:3cdmLOVYY9vht4a1THRJcZ,You're Not There,Lukas Graham,Lukas Graham,1,10,202893,spotify:user:jennunyan,2017-01-18T05:56:45Z,"""pop"""
spotify:track:67DNRQWjRLMFvekBRprYtW,What Happened To Perfect,Lukas Graham,Lukas Graham,1,8,236853,spotify:user:jennunyan,2017-01-18T08:29:01Z,"""pop"""
spotify:track:53QOM9f9pVYIks7FKb7A1c,Someone Like You,Mac Miller,Watching Movies with the Sound Off,1,14,261797,spotify:user:jennunyan,2016-12-19T10:39:48Z,"""hip hop"", ""pop rap"", ""rap"", ""southern hip hop"", ""trap music"", ""underground hip hop"""
spotify:track:2lpygKqzPFtItQ4ss3cgfb,Cinderella (feat. Ty Dolla $ign),"Mac Miller, Ty Dolla $ign",The Divine Feminine,1,5,480186,spotify:user:jennunyan,2016-12-19T10:39:52Z,"""hip hop"", ""pop rap"", ""rap"", ""southern hip hop"", ""trap music"", ""underground hip hop"""
spotify:track:1UCDE2UIE5cC6B1o0nsrSv,La Lune,"Madeon, Dan Smith",Adventure (Deluxe),1,4,219840,spotify:user:jennunyan,2017-01-11T02:24:28Z,"""alternative dance"", ""big room"", ""brostep"", ""catstep"", ""complextro"", ""edm"", ""electro house"", ""electronic trap"", ""filter house"", ""indietronica"", ""progressive electro house"", ""tropical house"""
spotify:track:3rsq3qtqNBId48c0IVraTS,Pay No Mind,"Madeon, Passion Pit",Adventure (Deluxe),1,5,249440,spotify:user:jennunyan,2017-01-11T02:24:24Z,"""alternative dance"", ""big room"", ""brostep"", ""catstep"", ""complextro"", ""edm"", ""electro house"", ""electronic trap"", ""filter house"", ""indietronica"", ""progressive electro house"", ""tropical house"""
spotify:track:5KAgd2yW7tktrKDsJhO9Fr,Who Do You Love,Marianas Trench,Astoria,1,11,232099,spotify:user:jennunyan,2016-12-07T06:00:24Z,"""emo"", ""modern rock"", ""pixie"", ""pop"", ""pop emo"", ""pop punk"", ""post-teen pop"", ""viral pop"""
